Kiosque,Ville,Implantation,Segment,Ruptures_sum,Ruptures_mean,Ruptures_min,Ruptures_max,Gravity
150139,Claux,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
150140,Riom-ès-Montagnes,Dans La Rue,Presse Et Connexes,79,27%,0,1,1
150157,Saint-Flour,Dans La Rue,Enseignes/Concepts,55,18%,0,1,0
150158,Saint-Flour,Dans La Rue,Enseignes/Concepts,70,23%,0,1,1
150159,Saint-Flour,Dans La Rue,Presse Tabac (Hors Bar),54,18%,0,1,0
150160,Saint-Flour,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
150165,Saint-Mamet-la-Salvetat,Ds Superette,Alimentation,6,11%,0,1,-1
150166,Saint-Mamet-la-Salvetat,Dans La Rue,Bars (Dont Tabac),56,21%,0,1,0
150169,Saint-Martin-Valmeroux,Dans La Rue,Presse Tabac (Hors Bar),86,28%,0,1,1
150186,Trizac,Dans La Rue,Bars (Dont Tabac),73,27%,0,1,1
150203,Riom-ès-Montagnes,Dans La Rue,Enseignes/Concepts,26,8%,0,1,-1
150204,Aurillac,Ds Supermarche,Rayons Supermarches,5,7%,0,1,-1
150225,Jussac,Ds Supermarche,Rayons Supermarches,37,19%,0,1,0
150233,Mandailles-Saint-Julien,Boulangerie,Alimentation,7,17%,0,1,0
150237,Aurillac,Ds Hypermarche,Rayons Hypermarches,0,0%,0,0,-1
150240,Arpajon-sur-Cère,Dans La Rue,Bars (Dont Tabac),69,22%,0,1,0
150277,Condat,Dans La Rue,Bars (Dont Tabac),56,20%,0,1,0
150320,Pleaux,Ds Supermarche,Autres,40,29%,0,1,1
150340,Aurillac,Ds Un Hopital,Environnement Specifique,6,12%,0,1,-1
150347,Massiac,Ds Hypermarche,Rayons Hypermarches,81,27%,0,1,1
150355,Aurillac,Ds Supermarche,Rayons Supermarches,14,7%,0,1,-1
160004,Aigre,Dans La Rue,Enseignes/Concepts,45,15%,0,1,0
160018,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),47,15%,0,1,0
160019,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),164,57%,0,1,1
160020,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),31,10%,0,1,-1
160024,Angoulême,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
160025,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),0,0%,0,0,-1
160029,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),75,24%,0,1,1
160031,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),56,19%,0,1,0
160032,Angoulême,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
160035,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),61,21%,0,1,0
160036,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),70,24%,0,1,1
160038,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),53,17%,0,1,0
160041,Angoulême,Dans La Rue,Enseignes/Concepts,30,13%,0,1,0
160043,Angoulême,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
160044,Angoulême,Dans La Rue,Bars (Dont Tabac),50,16%,0,1,0
160045,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),16,6%,0,1,-1
160047,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),0,0%,0,0,-1
160052,Angoulême,Ds Supermarche,Rayons Supermarches,20,6%,0,1,-1
160058,Angoulême,Dans La Rue,Presse Librairie Papeterie,22,9%,0,1,-1
160059,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),23,7%,0,1,-1
160064,Dirac,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
160065,Isle-d'Espagnac,Dans La Rue,Bars (Dont Tabac),28,11%,0,1,-1
160066,Isle-d'Espagnac,Dans La Rue,Bars (Dont Tabac),70,24%,0,1,1
160069,Gond-Pontouvre,Dans La Rue,Presse Tabac (Hors Bar),38,15%,0,1,0
160071,Soyaux,Dans La Rue,Presse Tabac (Hors Bar),80,26%,0,1,1
160073,Soyaux,Ccial Avec Hyp.,Enseignes/Concepts,69,22%,0,1,0
160076,Saint-Yrieix-sur-Charente,Ds Supermarche,Rayons Supermarches,34,11%,0,1,-1
160088,Barbezieux-Saint-Hilaire,Dans La Rue,Presse Tabac (Hors Bar),25,8%,0,1,-1
160094,Blanzac-Porcheresse,Dans La Rue,Presse Tabac (Hors Bar),63,21%,0,1,0
160096,Bourg-Charente,Epicerie,Presse Tabac (Hors Bar),0,0%,0,0,-1
160097,Brie,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
160107,Chalais,Dans La Rue,Enseignes/Concepts,59,19%,0,1,0
160108,Chalais,Dans La Rue,Presse Tabac (Hors Bar),0,0%,0,0,-1
160111,Champagne-Mouton,Dans La Rue,Presse Tabac (Hors Bar),79,31%,0,1,1
160112,Fontclaireau,Dans La Rue,Bars (Dont Tabac),48,16%,0,1,0
160115,Chasseneuil-sur-Bonnieure,Dans La Rue,Enseignes/Concepts,123,41%,0,1,1
160123,Châteauneuf-sur-Charente,Dans La Rue,Presse Tabac (Hors Bar),12,12%,0,1,-1
160130,Cognac,Dans La Rue,Enseignes/Concepts,76,25%,0,1,1
160133,Châteaubernard,Ccial Avec Hyp.,Enseignes/Concepts,45,15%,0,1,0
160136,Cognac,Dans La Rue,Presse Tabac (Hors Bar),15,5%,0,1,-1
160137,Cognac,Dans La Rue,Presse Tabac (Hors Bar),13,4%,0,1,-1
160138,Cognac,Dans La Rue,Presse Tabac (Hors Bar),49,21%,0,1,0
160139,Cognac,Dans La Rue,Presse Tabac (Hors Bar),6,9%,0,1,-1
160140,Cognac,Dans La Rue,Presse Tabac (Hors Bar),2,5%,0,1,-1
160141,Cognac,Dans La Rue,Presse Tabac (Hors Bar),58,19%,0,1,0
160142,Cognac,Dans La Rue,Presse Tabac (Hors Bar),44,14%,0,1,0
160143,Cognac,Dans La Rue,Presse Tabac (Hors Bar),32,10%,0,1,-1
160144,Cognac,Dans La Rue,Presse Tabac (Hors Bar),29,18%,0,1,0
160145,Cognac,Dans La Rue,Presse Tabac (Hors Bar),5,2%,0,1,-1
160146,Cognac,Dans La Rue,Presse Tabac (Hors Bar),18,20%,0,1,0
160147,Cognac,Dans La Rue,Presse Tabac (Hors Bar),55,19%,0,1,0
160149,Cognac,Dans La Rue,Presse Tabac (Hors Bar),0,0%,0,0,-1
160156,Confolens,Dans La Rue,Enseignes/Concepts,22,7%,0,1,-1
160157,Chabanais,Dans La Rue,Presse Tabac (Hors Bar),82,27%,0,1,1
