code_dept,Day,Sales,Delivered
87,Vendredi,17951.0,38221.0
88,Dimanche,80.0,430.0
88,Jeudi,18628.0,39300.0
88,Lundi,18289.0,41625.0
88,Mardi,16807.0,36927.0
88,Mercredi,17248.0,38600.0
88,Samedi,13579.0,30989.0
88,Vendredi,11176.0,27698.0
89,Dimanche,211.0,1002.0
89,Jeudi,34765.0,66701.0
89,Lundi,36835.0,72672.0
89,Mardi,34068.0,67352.0
89,Mercredi,33703.0,66759.0
89,Samedi,35590.0,65428.0
89,Vendredi,22276.0,48288.0
90,Dimanche,32.0,109.0
90,Jeudi,4805.0,10192.0
90,Lundi,5341.0,11572.0
90,Mardi,4774.0,10195.0
90,Mercredi,4870.0,10553.0
90,Samedi,3416.0,7311.0
90,Vendredi,2226.0,5953.0
91,Dimanche,619.0,2046.0
91,Jeudi,105255.0,191985.0
91,Lundi,112862.0,205561.0
91,Mardi,106648.0,201113.0
91,Mercredi,116058.0,208598.0
91,Samedi,99629.0,175309.0
91,Vendredi,69723.0,131638.0
92,Dimanche,1872.0,7108.0
92,Jeudi,438271.0,633924.0
92,Lundi,459007.0,676412.0
92,Mardi,440371.0,648946.0
92,Mercredi,518990.0,735028.0
92,Samedi,374396.0,536893.0
92,Vendredi,266240.0,412443.0
93,Dimanche,245.0,915.0
93,Jeudi,55788.0,112653.0
93,Lundi,62231.0,127984.0
93,Mardi,54104.0,115660.0
93,Mercredi,63227.0,125419.0
93,Samedi,45976.0,87566.0
93,Vendredi,38137.0,78694.0
94,Dimanche,825.0,3153.0
94,Jeudi,168060.0,278115.0
94,Lundi,176395.0,298401.0
94,Mardi,163103.0,278663.0
94,Mercredi,189496.0,306452.0
94,Samedi,144056.0,231868.0
94,Vendredi,112013.0,193073.0
95,Dimanche,621.0,2209.0
95,Jeudi,97892.0,174610.0
95,Lundi,105022.0,188430.0
95,Mardi,95311.0,175404.0
95,Mercredi,104974.0,189651.0
95,Samedi,91465.0,161322.0
95,Vendredi,66812.0,126403.0
