Date,Delivered,Sales,code_dept
12-2014,4595.0,2255.0,10
01-2015,5371.0,2678.0,10
02-2015,4394.0,2226.0,10
03-2015,4987.0,2259.0,10
04-2015,5011.0,2256.0,10
05-2015,4499.0,2093.0,10
06-2015,4736.0,2238.0,10
07-2015,4589.0,2443.0,10
08-2015,4312.0,2241.0,10
09-2015,4582.0,2151.0,10
10-2015,4266.0,2138.0,10
11-2015,5188.0,2040.0,10
12-2015,4627.0,2195.0,10
01-2016,4234.0,1871.0,10
02-2016,4270.0,1893.0,10
03-2016,4179.0,2036.0,10
04-2016,4029.0,2025.0,10
05-2016,4166.0,1939.0,10
06-2016,4824.0,2011.0,10
07-2016,4390.0,2031.0,10
08-2016,4283.0,2234.0,10
09-2016,4712.0,2059.0,10
10-2016,4955.0,2033.0,10
11-2016,4948.0,2071.0,10
12-2016,4601.0,2009.0,10
01-2014,7014.0,3189.0,11
02-2014,6088.0,2860.0,11
03-2014,6716.0,3676.0,11
04-2014,7781.0,4026.0,11
05-2014,7516.0,3833.0,11
06-2014,7285.0,3952.0,11
07-2014,12366.0,6385.0,11
08-2014,12369.0,7151.0,11
09-2014,10517.0,5174.0,11
10-2014,7852.0,3863.0,11
11-2014,6896.0,3166.0,11
12-2014,6690.0,3303.0,11
01-2015,7288.0,3631.0,11
02-2015,5748.0,3153.0,11
03-2015,6300.0,3135.0,11
04-2015,6908.0,3484.0,11
05-2015,7087.0,3560.0,11
06-2015,7836.0,3965.0,11
07-2015,11421.0,5678.0,11
08-2015,11934.0,5828.0,11
09-2015,9341.0,4459.0,11
10-2015,7630.0,3530.0,11
11-2015,7713.0,3173.0,11
12-2015,6877.0,3195.0,11
01-2016,6379.0,2811.0,11
02-2016,6739.0,2905.0,11
03-2016,6643.0,2887.0,11
04-2016,7152.0,2967.0,11
05-2016,7249.0,3046.0,11
06-2016,8126.0,3591.0,11
07-2016,10435.0,4947.0,11
08-2016,11015.0,5384.0,11
09-2016,9403.0,3698.0,11
10-2016,8274.0,3050.0,11
11-2016,8058.0,3002.0,11
12-2016,7324.0,2971.0,11
01-2014,6860.0,3213.0,12
02-2014,6227.0,2953.0,12
03-2014,6662.0,3751.0,12
04-2014,7381.0,4152.0,12
05-2014,7435.0,4111.0,12
06-2014,7643.0,4074.0,12
07-2014,11545.0,6285.0,12
08-2014,12966.0,8099.0,12
09-2014,9530.0,5219.0,12
10-2014,8437.0,4303.0,12
11-2014,6440.0,3187.0,12
12-2014,6438.0,3106.0,12
01-2015,6848.0,3251.0,12
02-2015,5552.0,2943.0,12
03-2015,6171.0,2821.0,12
04-2015,6652.0,3351.0,12
05-2015,6935.0,3528.0,12
06-2015,7725.0,3719.0,12
07-2015,10640.0,5722.0,12
08-2015,12958.0,7073.0,12
09-2015,9194.0,4491.0,12
10-2015,8260.0,3852.0,12
11-2015,7964.0,3059.0,12
12-2015,6594.0,2926.0,12
01-2016,6075.0,2524.0,12
02-2016,6172.0,2396.0,12
03-2016,6324.0,2525.0,12
04-2016,6178.0,2865.0,12
05-2016,6206.0,2970.0,12
06-2016,6833.0,3359.0,12
07-2016,8967.0,4829.0,12
08-2016,10951.0,6390.0,12
09-2016,8561.0,3683.0,12
10-2016,8155.0,3411.0,12
11-2016,7719.0,3001.0,12
12-2016,6818.0,2521.0,12
01-2014,62240.0,37350.0,13
02-2014,55988.0,33408.0,13
03-2014,64750.0,42154.0,13
04-2014,64403.0,40007.0,13
05-2014,64825.0,38223.0,13
06-2014,59158.0,36291.0,13
07-2014,69527.0,43431.0,13
08-2014,63099.0,40159.0,13
09-2014,67009.0,41419.0,13
10-2014,62475.0,37038.0,13
11-2014,58327.0,34475.0,13
12-2014,60165.0,35948.0,13
01-2015,64674.0,39311.0,13
02-2015,53821.0,33870.0,13
03-2015,58826.0,35092.0,13
04-2015,58654.0,35094.0,13
05-2015,54018.0,32888.0,13
06-2015,59578.0,35593.0,13
07-2015,63892.0,37979.0,13
08-2015,58388.0,34060.0,13
09-2015,58636.0,34704.0,13
10-2015,60797.0,34053.0,13
11-2015,63138.0,32407.0,13
12-2015,60097.0,32747.0,13
01-2016,56346.0,29928.0,13
02-2016,56806.0,29500.0,13
03-2016,57933.0,30623.0,13
04-2016,55437.0,29265.0,13
05-2016,51500.0,29581.0,13
06-2016,55074.0,31665.0,13
07-2016,60365.0,32828.0,13
08-2016,55724.0,31938.0,13
09-2016,59119.0,30608.0,13
10-2016,58530.0,29745.0,13
11-2016,63728.0,31797.0,13
12-2016,56975.0,30007.0,13
01-2014,23022.0,11528.0,14
02-2014,22847.0,11853.0,14
03-2014,24027.0,14055.0,14
04-2014,32343.0,18389.0,14
05-2014,29046.0,15616.0,14
06-2014,27934.0,14569.0,14
07-2014,47678.0,28927.0,14
08-2014,51444.0,33595.0,14
09-2014,31856.0,17014.0,14
10-2014,29193.0,15612.0,14
